Department,Course Name,Teacher,Title,Author,Copyright,ISBN,best link,buy link,title,brand_name,sale_price,buybox_winner,rating,sale price,book price

English,Senior Seminar: Do It England,Onion,Hamlet,Shakespeare,2016,9780143128540,amazon,https://www.amazon.com/dp/014312854X,Hamlet (The Pelican Shakespeare),--,"0

8.29",Amazon.com,4.5,"0,,8.29",8.29
English,Senior Seminar: Do It England,Onion,White Teeth,Smith,2001,9780375703867,amazon,https://www.amazon.com/dp/0375703861,White Teeth: A Novel,--,"0

12.46",Amazon.com,4.1,"0,,12.46",12.46
English,Senior Seminar: Do It England,Shah,Hamlet,Shakespeare,2016,9780143128540,amazon,https://www.amazon.com/dp/014312854X,Hamlet (The Pelican Shakespeare),--,"0

8.29",Amazon.com,4.5,"0,,8.29",8.29
English,Senior Seminar: Do It England,Shah,White Teeth,Smith,2001,9780375703867,amazon,https://www.amazon.com/dp/0375703861,White Teeth: A Novel,--,"0

12.46",Amazon.com,4.1,"0,,12.46",12.46
English,Senior Seminar: Reckless Libertines,Beckstein,Giovanni's Room,Baldwin,2013,9780345806567,amazon,https://www.amazon.com/dp/0345806565,Giovanni's Room,--,"0

13.68",Amazon.com,4.6,"0,,13.68",13.68
English,Senior Seminar: Reckless Libertines,Beckstein,Hamlet,Shakespeare,2016,9780143128540,amazon,https://www.amazon.com/dp/014312854X,Hamlet (The Pelican Shakespeare),--,"0

8.29",Amazon.com,4.5,"0,,8.29",8.29
English,Senior Seminar: Reckless Libertines,Bennett,Hamlet,Shakespeare,2016,9780143128540,amazon,https://www.amazon.com/dp/014312854X,Hamlet (The Pelican Shakespeare),--,"0

8.29",Amazon.com,4.5,"0,,8.29",8.29
English,Senior Seminar: Reckless Libertines,Davis,Hamlet,Shakespeare,2016,9780143128540,amazon,https://www.amazon.com/dp/014312854X,Hamlet (The Pelican Shakespeare),--,"0

8.29",Amazon.com,4.5,"0,,8.29",8.29
English,"Senior Seminar: Stay, Illusion",D'Andrea,Beloved,Morrison,2004,9781400033416,amazon,https://www.amazon.com/dp/1400033411,Beloved,--,"0

10.05",Amazon.com,4.5,"0,,10.05",10.05
English,"Senior Seminar: Stay, Illusion",D'Andrea,Hamlet,Shakespeare,2016,9780143128540,amazon,https://www.amazon.com/dp/014312854X,Hamlet (The Pelican Shakespeare),--,"0

8.29",Amazon.com,4.5,"0,,8.29",8.29
English,"Senior Seminar: Stay, Illusion",D'Andrea,Lincoln in the Bardo,Saunders,2018,9780812985405,amazon,https://www.amazon.com/dp/0812985400,Lincoln in the Bardo: A Novel,--,"0

10.89",Amazon.com,4,"0,,10.89",10.89
